"filename", "language", "JavaScript", "XML", "PostCSS", "comment", "blank", "total"
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\App.css", "PostCSS", 0, 0, 49, 9, 10, 68
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\App.js", "JavaScript", 29, 0, 0, 0, 3, 32
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\App.test.js", "JavaScript", 7, 0, 0, 0, 2, 9
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\Icons\confirm.svg", "XML", 0, 1, 0, 0, 0, 1
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\Icons\cut.svg", "XML", 0, 1, 0, 0, 0, 1
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\Icons\delete.svg", "XML", 0, 1, 0, 0, 0, 1
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\Icons\extractor.svg", "XML", 0, 1, 0, 0, 0, 1
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\Icons\left.svg", "XML", 0, 1, 0, 0, 0, 1
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\Icons\negative.svg", "XML", 0, 1, 0, 0, 0, 1
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\Icons\openclose.svg", "XML", 0, 1, 0, 0, 0, 1
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\Icons\positive.svg", "XML", 0, 1, 0, 0, 0, 1
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\Icons\right.svg", "XML", 0, 1, 0, 0, 0, 1
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\Icons\search.svg", "XML", 0, 1, 0, 0, 0, 1
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\Icons\triangle.svg", "XML", 0, 1, 0, 0, 0, 1
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Annotation\components\AnnotationPanel.css", "PostCSS", 0, 0, 128, 0, 17, 145
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Annotation\components\AnnotationPanel.js", "JavaScript", 153, 0, 0, 31, 13, 197
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Annotation\components\MatrixPalette.css", "PostCSS", 0, 0, 26, 1, 4, 31
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Annotation\components\MatrixPalette.js", "JavaScript", 146, 0, 0, 4, 13, 163
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Annotation\components\MatrixVisualization.css", "PostCSS", 0, 0, 54, 0, 9, 63
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Annotation\components\MatrixVisualization.js", "JavaScript", 241, 0, 0, 5, 17, 263
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Annotation\components\MixingMethod.css", "PostCSS", 0, 0, 31, 0, 3, 34
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Annotation\components\MixingMethod.js", "JavaScript", 115, 0, 0, 5, 10, 130
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Annotation\components\SpacePlot.css", "PostCSS", 0, 0, 5, 0, 0, 5
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Annotation\components\SpacePlot.js", "JavaScript", 19, 0, 0, 0, 4, 23
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Annotation\index.css", "PostCSS", 0, 0, 98, 0, 13, 111
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Annotation\index.js", "JavaScript", 91, 0, 0, 0, 7, 98
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Reference\index.css", "PostCSS", 0, 0, 144, 0, 15, 159
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Reference\index.js", "JavaScript", 148, 0, 0, 1, 10, 159
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Segmentation\components\AnnotationList.css", "PostCSS", 0, 0, 35, 0, 6, 41
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Segmentation\components\AnnotationList.js", "JavaScript", 72, 0, 0, 0, 8, 80
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Segmentation\components\ContentDescription.css", "PostCSS", 0, 0, 37, 0, 8, 45
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Segmentation\components\ContentDescription.js", "JavaScript", 29, 0, 0, 0, 3, 32
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Segmentation\components\MetaInformation.css", "PostCSS", 0, 0, 13, 0, 3, 16
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Segmentation\components\MetaInformation.js", "JavaScript", 38, 0, 0, 0, 4, 42
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Segmentation\components\PaintingBoard.css", "PostCSS", 0, 0, 0, 0, 1, 1
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Segmentation\components\PaintingBoard.js", "JavaScript", 109, 0, 0, 5, 15, 129
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Segmentation\components\SegmentTools.css", "PostCSS", 0, 0, 19, 0, 1, 20
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Segmentation\components\SegmentTools.js", "JavaScript", 179, 0, 0, 3, 9, 191
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Segmentation\components\SegmentationList.css", "PostCSS", 0, 0, 35, 1, 5, 41
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Segmentation\components\SegmentationList.js", "JavaScript", 55, 0, 0, 0, 8, 63
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Segmentation\index.css", "PostCSS", 0, 0, 76, 0, 10, 86
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\Segmentation\index.js", "JavaScript", 71, 0, 0, 1, 3, 75
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\sharedComponents.js", "JavaScript", 0, 0, 0, 13, 1, 14
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\sharedConstants.js", "JavaScript", 2, 0, 0, 0, 0, 2
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\sharedCss.css", "PostCSS", 0, 0, 51, 6, 8, 65
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\View\utils.js", "JavaScript", 64, 0, 0, 0, 8, 72
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\index.css", "PostCSS", 0, 0, 12, 0, 2, 14
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\index.js", "JavaScript", 12, 0, 0, 3, 3, 18
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 2, 14
"e:\CAnnotator-CHI24\cannotator-UI\cannotator-ui\src\setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"Total", "-", 1593, 11, 813, 92, 259, 2768